content,date,Sentiment
I cannot open the app anymore,2025-01-31,Negative
I have been begging for a refund from this app for over a month and nobody is replying me,2024-05-10,Negative
Very costly for the premium version (approx Indian Rupees 910 per year). Better to download the premium version of this app from apkmos website and use it. Microsoft to do list app is far more better.,2025-02-04,Negative
"Used to keep me organized, but all the 2020 UPDATES have made a mess of things !!! Y cudn't u leave well enuf alone ??? Guess ur techies feel the need to keep making changes to justify continuing to collect their salary !!! 🤤🤤🤤",2024-12-31,Negative
Dan Birthday Oct 28,2024-11-10,Positive
It has changed how I viewed my different lists. Now they are all jumbled together and I can't find what I need.,2022-05-02,Neutral
"I'm only looking for a grocery list app but every time I tap away from the app I have to tap again (after opening it again) to see the list. I can't find a way to keep a certain list showing when I open or reopen the app. eta: in response to the reply, it doesn't work like that on my phone. Even if the grocery list is showing, when I open another app and then go back to the any.do app, the list of lists is showing and I have to retap to get the grocery list to show again.",2023-04-12,Negative
"Reset my free trial, new phone I'd like to see if it's better.",2022-11-27,Positive
How do to stop monthly payment because i don't use this app anymore,2022-03-29,Negative
"I complain about not crashes and it was immediately fixed!Good job!! Now the crashes have returned! I really need it fixed because I need to change apps otherwise 😩 I followed your instructions on deleting the data, etc but it just now crashed again. I am a patient person and I have used Any Do for years but let's try one more time and then I will have to find another app. It crashed again 😑",2025-01-28,Negative
"Constant crashing. After reading all the negative reviews, I Uninstalled it from all my devices. **Canceled subscription. App was great, until it crashed. After spending more than a hour setting it up on my Samsung tablet, it will not run. Cannot even get it to start. Too bad. In the past, my experiences have been good with this app. Guess I will see how long it takes to crash on my cell phone. So much for multi-device sync. Such a disappointment. **see above, for new comment added.",2024-05-21,Negative
"Widgets are useless because they always show all tasks I have, regardless of category. There's no option to show only a specific category like groceries so they're all mixed up with to-do list tasks. Do developers even care about usability? Isn't it a software design 101?",2022-05-11,Negative
Horrible app. It doesn't do as described. Absolutely no support!,2024-02-09,Negative
"Update October 2020: new update deleted all of my tasks, forced me to create an account, and now only bare minimum is free. Finding a new app. Been using this for years and loved it. With each update you get less and less free. It just auto updated and now I can't have reoccurring reminders without paying. Unless you count defaulting to every Monday. It wouldn't even allow me to update a long time weekly reminder",2022-12-10,Negative
Did not realize there was a charge for this app do not want this app.,2024-03-16,Negative
"Spams notifications of how many tasks other users have completed this week. Who on earth would care? Uninstalled. **Update: Developer responded that this was a once off experiment. I think this was actually the third time I received this notification. Also, experimental spam is still spam",2023-01-21,Negative
Downloaded first thing it trys to do is do a con. Not impressed.,2024-08-13,Negative
No longer works with Alexa. What happened??,2022-10-04,Negative
it doesn't show any list,2025-03-30,Negative
Do not download,2023-04-05,Negative
This app is not what I wanted at all.,2022-01-22,Negative
Unnecessary pop up. Really annoying and counterproductive,2022-09-10,Negative
They recently started sending spammy notifications every week or so. Please stop.,2024-01-18,Negative
"Shows tasks assigned to others in widget. A major missing feature for any serious projects, is some way to know if a task you're currently adding to a long list, already exists. Some kind of an automatic search through the existing tasks - at least the tasks in the current list - while typing in a new task. Other than that, this is great. Good job! _Task search in the web app is an extra step and not intuitive._ Using a separate search feature to check every new task you're adding, is absurd.",2024-05-06,Neutral
7 days for free and then you pay. Plus too complicated for some simple tasks,2023-04-20,Negative
Update: thanks for your response. I would ask the developers to check their own app. There is NO monthly subscription option in the app. Old review: No monthly subscriptions? Why should I be forced to subscribe for a year? I am definitely not subscribing for a year in one go. This is ridiculously desperate.,2024-12-18,Negative
Expensive paywall preventing access to features in wanting to try out,2023-05-26,Negative
"I was about to pay for this app when I noticed a bug. It does not effectively sync tasks and events from the Google Calendar. Numerous issues, and you can't even mark those events as over. Sorry, not going to subscribe to this. I have no idea why this app is so famous. It's quite bad, in my opinion.",2023-12-01,Negative
Worst application no task information on screen,2024-09-02,Negative
"I downloaded this app to try for my task list but i see there're not many functions, choices of sounds, color labels... to make the task fun, dissapointed with the score i saw on Google Play. The worst point is this app forced me to pay for it without any awareness. I checked my Google play account before the trial end, i didn't see any Subscription plan from Any.do, but after the trial, it charged me yearly plan for this App. Bad way to trick people to pay for this app.",2022-07-09,Negative
"Shameless App Ever, Waste Money !!! I have subscribed and have been charged for the whole year. Though no features of premium appeared. Can someone clarify the reason????",2024-08-15,Negative
I am not providing email addresses or google or Facebook accounts for a todo list,2023-11-18,Negative
Uninstalled it as soon as it started sending me Ad notifications. Why does any developer think this is acceptable? Disgusting.,2024-08-15,Negative
I have subscribed and have been charged for the whole year. Though no features of premium appeared. Can someone clarify the reason????,2023-07-17,Negative
Have to pay premium if you want to put multiple reminders a day,2024-04-11,Negative
"I have tried I installing this on two separate Android devices with no luck. I can not add my calendars. I put the widget on the home screen. It says I need to add my calendars and has a button to add them, but nothing happens when I tap the button.",2025-02-28,Negative
Prayer Ubde,2023-10-09,Negative
such a useless and greedy app only wants money as is chargeable after 7 days do you have shame i want to give you 0 star,2022-01-21,Negative
Yes i what,2024-04-20,Positive
Waste,2022-06-16,Negative
"Really cumbersome, is not easy to use",2023-01-23,Negative
Was charged for the year instead of monthly,2023-08-24,Neutral
"Not free, cannot delete account",2022-11-12,Negative
Will not enable me to unsubscribe!,2022-01-14,Negative
Dindigul,2022-08-30,Neutral
Latest update deleted all my tasks and lists! Have to start all over and try to remember what my list items were. I'll be looking for a new app.,2024-02-16,Negative
Features for the free version are just disappointing.,2023-07-19,Negative
Locking basic features behind a paywall is kinda weird,2024-06-16,Neutral
Soo awkward i can't able to sign *up* 😭 Sick app,2022-04-02,Negative
Hangs when setting up Google Assistant,2024-08-13,Negative
Subscription?? How does this application figure that it can be a subscription application? Ridiculous Update after developer response: This is not a subscription application. You are not Netflix or Adobe. This should be a standalone app quit trying to milk people's money. You can say anything you want. THIS WILL NEVER BE A SUBSCRIPTION APPLICATION. STOP BEING RIDICULOUS.,2023-05-24,Negative
good,2024-02-15,Positive
"Hopeless customer service. I paid for the premium version, had a problem with its sharing function, emailed customer support for a solution, was told it would take 2 business days for a response (which was hopeless enough), now over 5 business days later I've not received a response.",2022-02-04,Negative
Duplicates files attached and you have to constantly delete. FIX THE BUGS.,2022-07-25,Positive
Used to work so well earlier. Now it doesn't work at all!! Junk!!,2025-01-09,Negative
Frustrating. Apparently its meant to sync grocery lists with Google home but doesn't. Absolutely no info on how to set it up,2024-10-22,Negative
Too complicated to use,2024-10-18,Negative
Forced sign in,2023-07-20,Negative
Work on it,2025-02-03,Positive
"I should have looked through ""most recent"" instead of ""most relevant"" reviews. It's far too limited for me in it's free state and I'm not interested in paying for a subscription just to unlock what should be basic functionality in a to do list app.",2023-12-04,Negative
do not for showing or refund&refuse about my persional privacy.,2023-02-06,Negative
"It doesn't have sub lists, e.g. ""child/school"", ""child/health"" so you see too many lists or too many tasks at once (which is overwelming).",2023-12-31,Neutral
Not usefull and even they charge some money :),2022-06-11,Negative
This app is absolutely useless. Because of this i missed an important event because the reminder alarm supposedly forgot to rang. Its pathetic and useless.,2022-07-21,Negative
Is the app or web platform down today? Can't seem to login either.,2024-09-22,Negative
Have to pay for daily reminders... My phone does that free,2022-09-27,Neutral
The app is amazing - but the vibrations! So annoying!! Pls let me turn them off.,2024-03-26,Negative
Dipak day Cox,2023-04-01,Neutral
Very bad,2024-10-13,Negative
Location reminders don't work in medium power saving mode.. And all I got in reply was a copy paste solution and a trouble shoot link.,2022-10-23,Negative
Fed up with interruption in each matter I note. Not worth the while HAVING there are far too many condescending workers out inte cyber world who refuse to take no for an answer.,2023-12-21,Negative
