content,Sentiment,Predicted Star Rating,Confidence
I cannot open the app anymore,Negative,1,0.65
I have been begging for a refund from this app for over a month and nobody is replying me,Negative,1,0.82
Very costly for the premium version (approx Indian Rupees 910 per year). Better to download the premium version of this app from apkmos website and use it. Microsoft to do list app is far more better.,Negative,2,0.51
"Used to keep me organized, but all the 2020 UPDATES have made a mess of things !!! Y cudn't u leave well enuf alone ??? Guess ur techies feel the need to keep making changes to justify continuing to collect their salary !!! 🤤🤤🤤",Negative,1,0.35
Dan Birthday Oct 28,Positive,5,0.37
It has changed how I viewed my different lists. Now they are all jumbled together and I can't find what I need.,Neutral,3,0.37
"I'm only looking for a grocery list app but every time I tap away from the app I have to tap again (after opening it again) to see the list. I can't find a way to keep a certain list showing when I open or reopen the app. eta: in response to the reply, it doesn't work like that on my phone. Even if the grocery list is showing, when I open another app and then go back to the any.do app, the list of lists is showing and I have to retap to get the grocery list to show again.",Negative,2,0.38
"Reset my free trial, new phone I'd like to see if it's better.",Positive,4,0.42
How do to stop monthly payment because i don't use this app anymore,Negative,1,0.76
"I complain about not crashes and it was immediately fixed!Good job!! Now the crashes have returned! I really need it fixed because I need to change apps otherwise 😩 I followed your instructions on deleting the data, etc but it just now crashed again. I am a patient person and I have used Any Do for years but let's try one more time and then I will have to find another app. It crashed again 😑",Negative,1,0.45
"Constant crashing. After reading all the negative reviews, I Uninstalled it from all my devices. **Canceled subscription. App was great, until it crashed. After spending more than a hour setting it up on my Samsung tablet, it will not run. Cannot even get it to start. Too bad. In the past, my experiences have been good with this app. Guess I will see how long it takes to crash on my cell phone. So much for multi-device sync. Such a disappointment. **see above, for new comment added.",Negative,1,0.82
"Widgets are useless because they always show all tasks I have, regardless of category. There's no option to show only a specific category like groceries so they're all mixed up with to-do list tasks. Do developers even care about usability? Isn't it a software design 101?",Negative,1,0.45
Horrible app. It doesn't do as described. Absolutely no support!,Negative,1,0.95
"Update October 2020: new update deleted all of my tasks, forced me to create an account, and now only bare minimum is free. Finding a new app. Been using this for years and loved it. With each update you get less and less free. It just auto updated and now I can't have reoccurring reminders without paying. Unless you count defaulting to every Monday. It wouldn't even allow me to update a long time weekly reminder",Negative,1,0.49
Did not realize there was a charge for this app do not want this app.,Negative,1,0.57
"Spams notifications of how many tasks other users have completed this week. Who on earth would care? Uninstalled. **Update: Developer responded that this was a once off experiment. I think this was actually the third time I received this notification. Also, experimental spam is still spam",Negative,1,0.72
Downloaded first thing it trys to do is do a con. Not impressed.,Negative,1,0.42
No longer works with Alexa. What happened??,Negative,1,0.61
it doesn't show any list,Negative,1,0.49
Do not download,Negative,1,0.79
This app is not what I wanted at all.,Negative,1,0.52
Unnecessary pop up. Really annoying and counterproductive,Negative,1,0.65
They recently started sending spammy notifications every week or so. Please stop.,Negative,1,0.78
"Shows tasks assigned to others in widget. A major missing feature for any serious projects, is some way to know if a task you're currently adding to a long list, already exists. Some kind of an automatic search through the existing tasks - at least the tasks in the current list - while typing in a new task. Other than that, this is great. Good job! _Task search in the web app is an extra step and not intuitive._ Using a separate search feature to check every new task you're adding, is absurd.",Neutral,3,0.47
7 days for free and then you pay. Plus too complicated for some simple tasks,Negative,2,0.43
Update: thanks for your response. I would ask the developers to check their own app. There is NO monthly subscription option in the app. Old review: No monthly subscriptions? Why should I be forced to subscribe for a year? I am definitely not subscribing for a year in one go. This is ridiculously desperate.,Negative,1,0.74
Expensive paywall preventing access to features in wanting to try out,Negative,2,0.41
"I was about to pay for this app when I noticed a bug. It does not effectively sync tasks and events from the Google Calendar. Numerous issues, and you can't even mark those events as over. Sorry, not going to subscribe to this. I have no idea why this app is so famous. It's quite bad, in my opinion.",Negative,1,0.66
Worst application no task information on screen,Negative,1,0.89
"I downloaded this app to try for my task list but i see there're not many functions, choices of sounds, color labels... to make the task fun, dissapointed with the score i saw on Google Play. The worst point is this app forced me to pay for it without any awareness. I checked my Google play account before the trial end, i didn't see any Subscription plan from Any.do, but after the trial, it charged me yearly plan for this App. Bad way to trick people to pay for this app.",Negative,1,0.53
"Shameless App Ever, Waste Money !!! I have subscribed and have been charged for the whole year. Though no features of premium appeared. Can someone clarify the reason????",Negative,1,0.98
I am not providing email addresses or google or Facebook accounts for a todo list,Negative,1,0.43
Uninstalled it as soon as it started sending me Ad notifications. Why does any developer think this is acceptable? Disgusting.,Negative,1,0.88
I have subscribed and have been charged for the whole year. Though no features of premium appeared. Can someone clarify the reason????,Negative,1,0.35
Have to pay premium if you want to put multiple reminders a day,Negative,1,0.32
"I have tried I installing this on two separate Android devices with no luck. I can not add my calendars. I put the widget on the home screen. It says I need to add my calendars and has a button to add them, but nothing happens when I tap the button.",Negative,2,0.4
Prayer Ubde,Negative,1,0.25
such a useless and greedy app only wants money as is chargeable after 7 days do you have shame i want to give you 0 star,Negative,1,0.99
Yes i what,Positive,5,0.35
Waste,Negative,1,0.68
"Really cumbersome, is not easy to use",Negative,2,0.54
Was charged for the year instead of monthly,Neutral,3,0.31
"Not free, cannot delete account",Negative,1,0.64
Will not enable me to unsubscribe!,Negative,1,0.61
Dindigul,Neutral,3,0.25
Latest update deleted all my tasks and lists! Have to start all over and try to remember what my list items were. I'll be looking for a new app.,Negative,1,0.48
Features for the free version are just disappointing.,Negative,2,0.46
Locking basic features behind a paywall is kinda weird,Neutral,3,0.55
Soo awkward i can't able to sign *up* 😭 Sick app,Negative,1,0.66
Hangs when setting up Google Assistant,Negative,1,0.44
Subscription?? How does this application figure that it can be a subscription application? Ridiculous Update after developer response: This is not a subscription application. You are not Netflix or Adobe. This should be a standalone app quit trying to milk people's money. You can say anything you want. THIS WILL NEVER BE A SUBSCRIPTION APPLICATION. STOP BEING RIDICULOUS.,Negative,1,0.88
good,Positive,4,0.5
"Hopeless customer service. I paid for the premium version, had a problem with its sharing function, emailed customer support for a solution, was told it would take 2 business days for a response (which was hopeless enough), now over 5 business days later I've not received a response.",Negative,1,0.75
Duplicates files attached and you have to constantly delete. FIX THE BUGS.,Positive,5,0.5
Used to work so well earlier. Now it doesn't work at all!! Junk!!,Negative,1,0.94
Frustrating. Apparently its meant to sync grocery lists with Google home but doesn't. Absolutely no info on how to set it up,Negative,1,0.5
Too complicated to use,Negative,2,0.53
Forced sign in,Negative,1,0.54
Work on it,Positive,4,0.43
"I should have looked through ""most recent"" instead of ""most relevant"" reviews. It's far too limited for me in it's free state and I'm not interested in paying for a subscription just to unlock what should be basic functionality in a to do list app.",Negative,2,0.55
do not for showing or refund&refuse about my persional privacy.,Negative,1,0.71
"It doesn't have sub lists, e.g. ""child/school"", ""child/health"" so you see too many lists or too many tasks at once (which is overwelming).",Neutral,3,0.45
Not usefull and even they charge some money :),Negative,1,0.58
This app is absolutely useless. Because of this i missed an important event because the reminder alarm supposedly forgot to rang. Its pathetic and useless.,Negative,1,0.93
Is the app or web platform down today? Can't seem to login either.,Negative,1,0.41
Have to pay for daily reminders... My phone does that free,Neutral,3,0.31
The app is amazing - but the vibrations! So annoying!! Pls let me turn them off.,Negative,2,0.5
Dipak day Cox,Neutral,3,0.26
Very bad,Negative,1,0.86
Location reminders don't work in medium power saving mode.. And all I got in reply was a copy paste solution and a trouble shoot link.,Negative,1,0.43
Fed up with interruption in each matter I note. Not worth the while HAVING there are far too many condescending workers out inte cyber world who refuse to take no for an answer.,Negative,2,0.52
"Really dissappointed in this app. Was using it to schedule my customers appointments. As soon as the new version came out, I lost everything. Going back to paper as at least my paper won't delete everything. A terrible app for business owners and scheduling appointments. Absolutely horrible and I'm very angry.",Negative,1,0.93
Thanks to your stupid update I lost ALL of my appointment dates... Terrible garbage.,Negative,1,0.95
"I miss Cal. The updates destroyed it, turned this into a cookie-cutter to-do app. It's a shame.",Negative,1,0.51
Was great but can't connect with other people since last update. Invite will go out and will even receive the invitation but doesn't link and have had no luck with customer support,Negative,2,0.36
I WAS TRYING FOR DAYS TO UN SUBSCRIBE. BUT OF COURSE THAT I was charged. Absolutely no support. Horrible and disgusting tactics,Negative,1,0.95
"Update ruined app Last update re-formatted the ""Plan My Day"" function so the ability to schedule tasks for that day or postpone into the future is unusable, so I have 50+ tasks and to way to arrange them into a comprehensive order. Contacted the developer who emailed me back after 4 days asking for a screenshot of the problem, so I sent it right back. 3 days later - no response from the developer, no fix, nothing. Update9/8: no fix, moved to aCalTasks +",Negative,1,0.69
👎,Positive,5,0.31
"Does not do weekly reminders correctly. I opened a bug report, and was told that it was a known bug. A reminder app that gets reminders at the wrong time is a big 'no' from me.",Negative,1,0.53
"In app purchases significantly impact experience. £16 a year for features such as recurring tasks, you're having a laugh",Positive,5,0.51
You need an account because they want to track your cookies for ads,Positive,4,0.27
Need to create an account to use it.,Neutral,3,0.36
"Is NOTHING free anymore??. It looks like a good app but as soon as you open it, it gives the subscription rates 🤬🤬🤬🤬. I uninstalled immediately. Don't bother. Believe it or not, some people don't enjoy being nickle and dimed!",Negative,1,0.63
Very bad,Negative,1,0.86
Pratz,Positive,4,0.26
i sent an ivite to people and everyone got over 50 emails for the one invite. What a joke of a an app.,Negative,1,0.9
I have to sync whatttt gtfohhhhhh,Negative,1,0.26
Bring back my money! Why your system stolen my money from pending subscribe? Without confirmation and notification!!!! Wheres my money???,Negative,1,0.92
WHY IS THIS SO BUGGY NOW? WHY ARE YOU NO LONGER REALLY BEING ATTENTIVE TO QUALITY CONTROL? CANT DELETE TASK ON ONE TRY. CAN NO LONGER DELETE FINISHED TASKS WITHOUT SEVERAL ATTEMPTS. ALL COMMANDS ARE HESITANT. ALL COMMANDS REQUIRE MULTIPLE ATTEMPTS. I HAVE EMAILED YOU 3 TIMES WITH NO RESPONSE. PLEASE ADVISE.,Negative,1,0.82
Hum hai al Ghj,Negative,1,0.31
Shabab,Neutral,3,0.25
Makes simple things extremely complicated,Negative,2,0.49
Even after your response it doesn't change the fact that you are required to have an account to proceed. The reasoning that others do it is negligible. Only way I would rate this app better is if you had an Anonymous auto log in that can be converted to a full account on sign up or log in.,Negative,2,0.45
The latest update now not working fine at all. It's worsening day by day. The developers now appears to have a different intention that premium paid version is purchased by the users.,Negative,1,0.51
Just use your basic phone calendar,Positive,5,0.39
I want to cancel the subscription.,Negative,1,0.51
MoneyGrabber Wants you to pay premium to choose specific dates.,Negative,1,0.32
Does not do much different than Google tasks (which is easier to use and is free). As a result I wanted a refund as I only realized this after my 7 day trial. Refunds are only given within 24 hours of their drawing their fee. Not sure that is legal for an automatic subscription after app trial.,Negative,2,0.49
"Bekaar... bagwas.. time waste... useless.. and asking for payment, before use anyway",Negative,1,0.78
Useless app... Set up 8 reminders during a course of 4 days and not once received any notification! Waste of money.,Negative,1,0.93
Subscription!!!,Positive,5,0.25
"This app met my needs until this latest update. Dislike the new format to such a degree that it's a dealbreaker. Now I have to start from scratch researching apps to find a replacement. I know, I used the free version so you don't care if I go but this is such a disappointment.",Negative,2,0.45
It syncs EVERYTHING. terrible. you have to get the pro version in order to be able to do anything actually worth while!!!,Negative,1,0.86
I don't found usefulness,Negative,2,0.44
"In the calendar of Any.do, 1st of August is marked as bakr-Id, but 22nd August is not marked as Ganesha chaturthi! Is there a specific reason? or was it conveniently forgotten? Developer, please do respond. Because it depends on your response whether to buy it or not?",Negative,1,0.62
Its a good app but the app keeps crashing when i allow this app to add to my calendar. After adding it to calendar then yhis app doesnt open. Keeps crashing,Neutral,3,0.46
"Saying free and simple is not telling people it is a 7 day free trial especially at Google play store and people only know it's a 7 day free trial after they download it. So why won't Google do anything about this app developers not mention their apps have a trial period, which results in people downloading apps for nothing. PS 95% of the app is free, until the trial period finishes.",Negative,1,0.51
"Scam premium that bypasses GooglePlay, On the mobile app you can only buy 1 year of premium while on the website a monthly payment is possible. People buy the monthly more often and the developer listed it on its personal website only to bypass google fee, thus i need to link my card on their site too",Negative,1,0.47
"This new layout is just awful. Just ridiculously awful. I cannot in any way fathom how this got a thumbs up from anybody. Bye bye Any.do, I'm off to download something that wasn't designed by a nine year old.",Negative,1,0.95
You have to open an account with them. I won't be going there. Would be nice to be given the choice.,Negative,2,0.4
"There is no option to delete the account. If i don't find this app useful, you guyz will keep my data? This is against the policies and norms",Negative,1,0.59
Efvig,Positive,5,0.34
Sorry way to complicated. And why would you think I want my information out on your servers? Wanted to create a weekday event spent more time trying to figure out how to do that than it took to write in a diary.,Negative,1,0.46
Super,Positive,5,0.78
Worked great for a few years and then the past couple of months it eats anything added to the list! I can sit and watch things drop off before my very eyes!,Positive,5,0.32
Way over priced for what it does. Not worth it!!,Negative,1,0.5
Delete application,Negative,1,0.58
Laggy responses to resolved items and errors in recurring reminders,Negative,2,0.5
Nice app,Positive,4,0.49
No new it's repeated app,Negative,1,0.49
It stop working and I try to reinstall it but same problem,Negative,1,0.46
"Automatically shows the reminder Snackbar when I open other apps without me setting it up, what kind of violation is this??? Stop bugging your users unsolicitedly. Uninstalled",Negative,1,0.77
"I love this app, but I do have one major gripe - I want an option to buy premium once (even at a higher price) and not as a monthly or yearly subscription. Edit - very unhappy with developer response to pricing. I want to buy premium for this great product they made, but it's NOT a service. This isn't Netflix. You're going to turn potential buyers away with this pricing model",Neutral,3,0.39
Atleast make a few features available .. if the customer donot like the app at initial stage than how would he/she ever think about going premium,Neutral,3,0.43
"Requires a sign up for features I have no interest in using, but can't opt out of.",Neutral,3,0.46
Did not sign up. App not even on my phone. This payment deduction will be reported and I request you refund my money immediately.,Negative,1,0.9
Autofill on Android 10 does not work,Negative,1,0.71
"Had charged twice but still not getting premium version access,",Negative,2,0.38
Have have to make an account in order to use this app. There is no way around it.,Negative,1,0.42
"Creating an account is supposed to ALLOW you, not FORCE you. Uninstalled without trying it",Negative,1,0.58
Stop Adding Groceries Items Like an Ad,Negative,1,0.56
Bakwas app,Positive,4,0.27
"I don't get task notifications anymore!!! This app has become useless. I have uninstalled and reinstalled, turned on / allowed notifications in the settings yet nothing.",Negative,1,0.92
Good improvements but still don't have nag or presisitent reminders. I missing a lot reminders accidentally,Neutral,3,0.51
"Useless, ring bells only one time, and not a good reminder",Negative,1,0.84
Having to pay to set a recurring task is ridiculous and essentially makes the app useless to anyone who doesn't want to pay so this essentially is not a free app.,Negative,1,0.79
There is some issue in payment.,Neutral,3,0.56
Too complicated. I need a plan to plan tasks.,Negative,2,0.59
Everything it expects you to pay,Positive,5,0.67
"This app is useless unless you make the monthly payment, in that case does exist other app free and only with the essential",Negative,1,0.66
Too many features locked behind premium.,Negative,2,0.51
Worst app,Negative,1,0.89
"I have the same recurring tasks to do every day. I need a to-do-list reminder to buzz me when it's time. The problem with this app, is that those reminder times somehow start drifting every day, giving me different times the next day! That is an annoying fail! Screw it, I'm going elsewhere. if I find a better app, I'll let you guys know. UPDATE : Suggestion did not work, and I found an app, that does not drift. I have moved on.",Negative,1,0.54
"OMG the UI is awful, seriously you have popup for premium every 2 seconds, there's no intuitive way see a normal calendar, you have to create an account even if you don't want to, the app is beautiful but show screen where it's impossible to understand what you have to do. It's a calendar, show a f... calendar.",Negative,1,0.53
Not good,Negative,1,0.59
"Trash. Yes, it has some nice nifty features but it lacks in complete necessities to actually plan your day. You can make a task, perfectly include subtasks and then add a nice color to the task. But no yellow, because that's already the fixed color of the 'priority label'. Reminders are great, except you can only have one. If I want to have a reminder on Wednesday 10AM and a reminder on Friday 6PM, I'd need a different app. Because this app only allows you to set 1 reminder. Frustrating. 0/10",Negative,1,0.75
"Is it necessary to sign up account? While making a new account it's shows error ""oops try again later""",Negative,1,0.51
I've been using the app for a while and since last week it has been acting weird. I don't receive reminders anymore and it's completely a waste of time to set reminders! Not very reliable right now,Negative,2,0.5
"While it's nice program, I can justify paying for it in perpetuity. That's just insane.",Negative,2,0.36
